case_id,dimension,condition_number,delta_contract,rho_contract,cheap_cost_exact_units,initial_residual,candidate_residual,candidate_contract_satisfied,baseline_lower_calls,baseline_upper_calls,post_upper_calls,gate_accept,guaranteed_saved_calls,guaranteed_cost_slack,baseline_actual_calls,post_actual_calls,gated_actual_calls,gated_total_cost,gated_cost_ratio,always_total_cost,always_cost_ratio,posthoc_descent_accept,posthoc_total_cost,posthoc_cost_ratio
0,64,1.0543957494082032,0.35250435475362557,0.5444119313258028,2.0,1.0,0.24578704710787783,True,21,23,22,False,-1,-3.0,22,20,22,22,1.0,22.0,1.0,True,22.0,1.0
1,64,1.3729299919844595,0.0045451851815758535,0.004565938216296556,2.0,1.0,0.0026278160323801635,True,21,32,20,False,1,-1.0,29,16,29,29,1.0,18.0,0.6206896551724138,True,18.0,0.6206896551724138
2,64,1.6364125735430508,0.08233537528893713,0.08972272992964216,2.0,1.0,0.04753359710944297,True,21,39,33,False,-12,-14.0,35,27,35,35,1.0,29.0,0.8285714285714286,True,29.0,0.8285714285714286
3,64,1.3918037538154744,0.013366758080684422,0.013547848899436861,0.25,0.9999999999999998,0.007973114671539468,True,21,32,22,False,-1,-1.25,30,19,30,30,1.0,19.25,0.6416666666666667,True,19.25,0.6416666666666667
4,64,1.0979434066659268,0.004200343163736015,0.004218060465175138,0.5,0.9999999999999999,0.002704129940499641,True,21,24,15,True,6,5.5,23,13,13,13.5,0.5869565217391305,13.5,0.5869565217391305,True,13.5,0.5869565217391305
5,64,1.100565597689977,0.5713740174203858,1.3330363548697315,1.0,1.0,0.44138831521601674,True,21,24,24,False,-3,-4.0,23,22,23,23,1.0,23.0,1.0,True,23.0,1.0
6,64,1.815727649653146,0.08807640748365747,0.0965830999509743,1.0,1.0,0.057927256542968396,True,21,44,37,False,-16,-17.0,40,32,40,40,1.0,33.0,0.825,True,33.0,0.825
7,64,1.9647623520650046,0.18326159658990746,0.22438224506738416,4.0,1.0,0.09891401164700732,True,21,49,43,False,-22,-26.0,43,36,43,43,1.0,40.0,0.9302325581395349,True,40.0,0.9302325581395349
8,64,2.392918096297081,0.5644191410781354,1.2957849949494271,1.0,1.0,0.36900163469680525,True,21,61,62,False,-41,-42.0,53,48,53,53,1.0,49.0,0.9245283018867925,True,49.0,0.9245283018867925
9,64,1.0014978653108066,0.012082248029895349,0.012230014093583135,4.0,1.0,0.007099012772725657,True,21,21,15,True,6,2.0,21,14,14,18.0,0.8571428571428571,18.0,0.8571428571428571,True,18.0,0.8571428571428571
10,64,2.2517925990765724,0.12521753892568238,0.1431413459889252,1.0,0.9999999999999999,0.06888946284984901,True,21,57,49,False,-28,-29.0,49,38,49,49,1.0,39.0,0.7959183673469388,True,39.0,0.7959183673469388
11,64,2.0983174972732437,0.007940094365823382,0.008003644054889668,1.0,1.0,0.004329882106398475,True,21,52,34,False,-13,-14.0,46,27,46,46,1.0,28.0,0.6086956521739131,True,28.0,0.6086956521739131
12,64,1.1664326673245438,0.0019198006714461408,0.0019234933953580714,0.25,1.0,0.0010245381165381552,True,21,26,14,True,7,6.75,24,12,12,12.25,0.5104166666666666,12.25,0.5104166666666666,True,12.25,0.5104166666666666
13,64,1.3411156052963256,0.011904607071051131,0.012048034183990126,4.0,1.0,0.007320168968857552,True,21,31,21,False,0,-4.0,28,18,28,28,1.0,22.0,0.7857142857142857,True,22.0,0.7857142857142857
14,64,1.242201856310992,0.0034332413343489115,0.003445069087941319,1.0,0.9999999999999999,0.0021776495766404652,True,21,28,17,True,4,3.0,26,14,14,15.0,0.5769230769230769,15.0,0.5769230769230769,True,15.0,0.5769230769230769
15,64,1.4629236774795047,0.5043018735206689,1.0173568278388412,2.0,0.9999999999999999,0.44318924032794443,True,21,34,34,False,-13,-15.0,30,28,30,30,1.0,30.0,1.0,True,30.0,1.0
16,64,1.3787644565021853,0.09300413435385417,0.10254085809707393,4.0,1.0,0.055700398856554326,True,21,32,27,False,-6,-10.0,29,23,29,29,1.0,27.0,0.9310344827586207,True,27.0,0.9310344827586207
17,64,1.3396528370647978,0.008968664927386471,0.009049829818680083,0.5,1.0,0.004851184855650112,True,21,31,21,False,0,-0.5,29,17,29,29,1.0,17.5,0.603448275862069,True,17.5,0.603448275862069
18,64,1.4383618579904867,0.36299268571144244,0.5698406871777466,0.5,1.0,0.24174643872115872,True,21,34,32,False,-11,-11.5,30,26,30,30,1.0,26.5,0.8833333333333333,True,26.5,0.8833333333333333
19,64,2.0094274674145787,0.0017772902808026745,0.001780454665575211,0.5,1.0,0.0011525885744915086,True,21,50,27,False,-6,-6.5,45,21,45,45,1.0,21.5,0.4777777777777778,True,21.5,0.4777777777777778
20,64,1.2942969811443719,0.18377507607310795,0.22515249251267458,0.5,1.0,0.13984089016160767,True,21,30,26,False,-5,-5.5,27,23,27,27,1.0,23.5,0.8703703703703703,True,23.5,0.8703703703703703
21,64,1.1208003507964535,0.2528584673252632,0.3384344950280571,2.0,1.0,0.1343832048918011,True,21,25,23,False,-2,-4.0,23,20,23,23,1.0,22.0,0.9565217391304348,True,22.0,0.9565217391304348
22,64,1.8577328828002433,0.002502716594804898,0.00250899590048133,2.0,0.9999999999999999,0.00158643465792802,True,21,46,26,False,-5,-7.0,41,20,41,41,1.0,22.0,0.5365853658536586,True,22.0,0.5365853658536586
23,64,2.093077650700303,0.14383034250600915,0.16799280521923735,0.5,1.0,0.09248502088955726,True,21,52,46,False,-25,-25.5,47,36,47,47,1.0,36.5,0.776595744680851,True,36.5,0.776595744680851
24,64,1.9016333565007284,0.001667059626908343,0.0016698433553493071,2.0,1.0,0.0009238797673546699,True,21,47,25,False,-4,-6.0,42,20,42,42,1.0,22.0,0.5238095238095238,True,22.0,0.5238095238095238
25,64,1.8089862418612732,0.0013284228831437347,0.0013301899378961636,0.25,1.0,0.0007923002388182309,True,21,44,23,False,-2,-2.25,40,18,40,40,1.0,18.25,0.45625,True,18.25,0.45625
26,64,1.0525457674152712,0.05749012789798529,0.06099684427683397,0.5,1.0,0.0375383468822245,True,21,23,18,True,3,2.5,22,17,17,17.5,0.7954545454545454,17.5,0.7954545454545454,True,17.5,0.7954545454545454
27,64,1.8219464398730096,0.0012313953888874328,0.0012329135930007505,2.0,1.0,0.0006985449275320263,True,21,45,23,False,-2,-4.0,41,19,41,41,1.0,21.0,0.5121951219512195,True,21.0,0.5121951219512195
28,64,2.301066503815752,0.0047606415091405885,0.004783413626606801,4.0,0.9999999999999999,0.003041623907192287,True,21,58,36,False,-15,-19.0,51,28,51,51,1.0,32.0,0.6274509803921569,True,32.0,0.6274509803921569
29,64,2.895579989843412,0.0015507430463318568,0.0015531515853527418,4.0,1.0,0.0009534316854006736,True,21,75,40,False,-19,-23.0,64,28,64,64,1.0,32.0,0.5,True,32.0,0.5
30,64,1.6680348517014953,0.252084748878104,0.33704988432843036,0.5,1.0,0.14693000112782265,True,21,40,37,False,-16,-16.5,36,31,36,36,1.0,31.5,0.875,True,31.5,0.875
31,64,1.2551315722248335,0.20196634861338447,0.2530799901263059,0.25,1.0,0.12350090470771401,True,21,28,26,False,-5,-5.25,26,22,26,26,1.0,22.25,0.8557692307692307,True,22.25,0.8557692307692307
32,64,1.7588551511646768,0.0018600526474025234,0.0018635188906485588,1.0,1.0,0.0010632456927001863,True,21,43,24,False,-3,-4.0,39,19,39,39,1.0,20.0,0.5128205128205128,True,20.0,0.5128205128205128
33,64,1.2938754928815213,0.5122376132617686,1.0501785852886447,4.0,1.0,0.477069182104657,True,21,30,30,False,-9,-13.0,27,26,27,27,1.0,30.0,1.1111111111111112,True,30.0,1.1111111111111112
34,64,1.7611480723935338,0.0031368371323503242,0.003146707842354881,2.0,1.0,0.0018015143249154309,True,21,43,25,False,-4,-6.0,37,19,37,37,1.0,21.0,0.5675675675675675,True,21.0,0.5675675675675675
